Sl.No,Lane,VehicleType,Entry,Exit
3328,1,1,18814.2,18821.32
3329,1,1,18815.4,18821.84
3330,1,1,18820.2,18825.24
3331,1,1,18823.08,18827.76
3332,1,1,18834.6,18842.28
3333,1,1,18849,18853.92
3334,1,1,18853.8,18861.64
3335,2,1,18861.64,18867.24
3336,2,2,18862.44,18866.28
3337,2,3,18864.96,18870.12
3338,1,1,18871.08,18876.84
3339,2,3,18871.24,18876.84
3340,2,2,18872.84,18877.8
3341,2,3,18887.48,18892.2
3342,1,3,18915.24,18921.04
3343,2,2,18921.04,18924.84
3344,1,3,18920.04,18925.8
3345,2,2,18924.52,18928.68
3346,1,2,18925.8,18931.56
3347,1,3,18927.72,18933.4
3348,1,7,18940.2,18947.88
3349,2,1,18946.96,18952.68
3350,2,1,18951,18957.48
3351,2,2,18951.8,18955.56
3352,2,1,18956.48,18963.04
3353,1,3,18953.64,18962.28
3354,2,1,18956.52,18962.28
3355,1,1,18958.36,18964.2
3356,1,1,18962.28,18968.84
3357,2,3,18965.28,18969.96
3358,2,3,18968.12,18972.84
3359,2,2,18969,18973.8
3360,1,3,18970.92,18976.8
3361,2,3,18971.92,18977.64
3362,2,1,18976.68,18981.48
3363,1,3,18970.92,18976.8
3364,1,1,18997.8,19005
3365,1,1,19001.64,19006.44
3366,2,3,19009.96,19021.8
3367,2,3,19010.84,19021.8
3368,2,2,19019.6,19024.68
3369,1,3,19028.52,19034.12
3370,2,3,19034.12,19043.88
3371,1,3,19032.36,19040.04
3372,1,3,19035.24,19042.72
3373,1,1,19036.2,19041.56
3374,2,3,19039.84,19046.76
3375,2,3,19041.96,19048.68
3376,1,3,19038.12,19043.76
3377,1,1,19039.08,19045.04
3378,1,3,19038.12,19043.88
3379,1,1,19039.08,19045.84
3380,2,3,19054.16,19059.24
3381,2,3,19054.8,19060.2
3382,2,3,19055.48,19062.12
3383,2,3,19056.6,19064.04
3384,1,5,19057.32,19068.84
3385,1,1,19059.24,19071.92
3386,1,3,19060.2,19067.88
3387,1,1,19063.08,19077.48
3388,2,3,19066.72,19074.6
3389,1,1,19063.08,19074.6
3390,1,3,19066.92,19074.24
3391,1,1,19065.96,19077.48
3392,2,5,19073.32,19079.4
3393,1,3,19070.76,19077.48
3394,1,3,19073.64,19080.08
3395,1,2,19075.56,19081.92
3396,1,2,19086.12,19090.44
3397,1,2,19098.04,19104.08
3398,1,1,19104.08,19109.72
3399,1,3,19101.48,19107.88
3400,2,2,19104.36,19109.16
3401,1,6,19117.8,19123.64
3402,1,3,19119.72,19125.96
3403,1,1,19130.28,19135.88
3404,1,1,19139.88,19143.72
3405,1,3,19146.6,19156.2
3406,1,2,19149.48,19158.12
3407,1,2,19152.36,19160.04
3408,1,1,19154.28,19161
3409,1,1,19161,19165.92
3410,2,2,19168.96,19174.44
3411,1,1,19173.6,19178.76
3412,1,2,19175.4,19180.72
3413,1,1,19177.32,19188.52
3414,1,4,19181.2,19192.68
3415,1,3,19196,19201.32
3416,2,3,19214.16,19219.56
3417,1,2,19215.8,19221.08
3418,1,1,19221.64,19227.4
3419,1,1,19224.36,19229.6
3420,2,5,19242.8,19248.36
3421,2,1,19244.52,19250.28
3422,2,3,19246.4,19252.2
3423,1,3,19245.68,19250.76
3424,1,2,19248.36,19254.12
3425,2,1,19250.28,19257.96
3426,1,7,19259.88,19272.58
3427,1,3,19261.2,19267.56
3428,1,3,19262.32,19268.52
3429,1,3,19263.48,19270.44
3430,1,1,19266.24,19271.4
3431,2,1,19270.96,19276.2
3432,2,1,19274.52,19280.04
3433,2,2,19277.2,19283.88
